TTPE ITI CUE SOA TAR RSC FDB

HTLC 100 110 120 130 140 150 
HTLI 100 110 120 130 140 160 
HTLM 100 110 120 130 140 199

HTRC 200 210 220 230 240 250
HTRI 200 210 220 230 240 260 
HTRM 200 210 220 230 240 299   

HALC 300 310 320 330 340 350 
HALI 300 310 320 330 340 360 
HALM 300 310 320 330 340 399
   
HARC 400 410 420 430 440 450 
HARI 400 410 420 430 440 460
HARM 400 410 420 430 440 499    

LTLC 500 510 520 530 540 550
LTLI 500 510 520 530 540 560 
LTLM 500 510 520 530 540 599  

LTRC 600 610 620 630 640 650 
LTRI 600 610 620 630 640 660 
LTRM 600 610 620 630 640 698 

LALC 700 710 720 730 740 750
LALI 700 710 720 730 740 760 
LALM 700 710 720 730 740 799 

LARC 800 810 820 830 840 850 
LARI 800 810 820 830 840 860 
LARM 800 810 820 830 840 899 

